;text;option_1;option_2;option_3;option_4;rating
q536;Which is worse: being too much of a dreamer or too cynical?;too much of a dreamer;too cynical;;;
q50923;At the movies, do you stay for the credits?;Always.;Sometimes.;Never.;;
q86217;Can people of color be racist?;Yes.;No.;;;
q13077;Would you date someone who has served considerable time in prison?;Yes;No;;;
q22439;Can just one person significantly change the world?;Yes;No;;;
q250;Do you like being in a car with someone else who's driving extremely fast?;Yes;No;;;
q19915;Could you date someone with a significant Taoist lean in their outlook on life?;Yes, I love the Tao Te Ching.;Sure, why not?;No, they'd be too laid back.;What the hell is Taoism?;
q410;Have you ever been to a strip club?;Yes;No;;;
q6032;Were you born in the United States?;Yes;No;;;
q36628;You're in bed, spooning behind your partner.  Where would your hand(s) most likely be?;Partner's stomach.;Partner's genitalia.;Partner's chest / breast / heart.;I don't spoon - I only fork.;
q19691;How would you say your self esteem is?;High;Low;Neither high nor low;;
q268;Do you enjoy fantasy books or movies? (e.g. The Lord of the Rings);Yes;No;;;
q18840;How was your childhood?;Wonderful!;It was okay.;Not great, but I'm no worse for the wear.;Awful, and I have emotional issues as a result.;
q2717;Do you have a car?;Yes;No;;;
q15063;Would you be willing to date someone with ADD (attention deficit disorder)?;Yes;No;I don't know;;
q206;Have you ever cybered (had cybersex)?;Yes;No;;;
q8048;Which are you closer to being?;A hippie;A yuppie;;;
q9384;Do you masturbate?;Yes;No;;;
q8414;Would you be excited to ride the world's tallest and fastest roller coaster?;Yes;No;;;
q41113;Do you ever intentionally try to make people angry just to see how they react?;Yes.;No.;;;
q16345;Are you better with numbers or words?;Numbers;Words;Both equally;;
q174;Communism, in concept:;Good;Bad;Same as capitalism;No idea / this question doesn't interest me;
q70135;On your first visit to a friend's home, which would bother you more, the open display of a religious altar or of a porn library?;The altar.;The porn library.;Neither would bother me at all.;;
q409;A 'shooting star' is a star that...;...burned out, and collapsed;...collided with Earth's atmosphere;...got sucked into a black hole;...isn't really a star;
q16752;Do you think video or computer games are childish?;Yes;No;;;
q413;Have you ever played Dungeons and Dragons?;Yes;No;;;
q37;How old were you when you lost your virginity?;Under 18;18 or Over;I never have!;;
q60826;How ticklish are you?;Extremely.;Somewhat.;Just a little bit.;Not at all.;
q60872;What should be done with your body after you die?;Bury me.;Cremate me.;By all means, please find a good taxidermist.;Something else.;
q205;Do you think bodily fluids are inherently gross?;Yes;No;;;
q478;Does the idea of childbirth disgust you?;Yes;No;;;
q436;Does music have a big influence on your life?;Yes;No;;;
q35959;How much do you like to be tickled during sex?;Tickle me until I cry. It really turns me on.;I like being tickled during sex.;I do not like being tickled during sex.;I don't like to be tickled, ever.;
q18555;Have you ever felt so strongly about a social issue or cause that you have participated in a public demonstration?;Yes;No;Politics bore me;;
q18857;How many concerts do you attend a year?;8+;4-7;1-3;0, typically;
q1011;Do you know what a 'safeword' is, in a sexual context?;Yes;No;;;
q7079;Could you date someone with abnormal amounts of body hair?;Yes;No;I don't know;;
q66994;Do you like to burn incense in your home?;Yes.;No.;I've never burnt incense in my home before.;;
q6813;Not ideally, but realistically, do you flock to the 'bad' boys/girls?;Yes;No;;;
q6765;Have you ever attended a political demonstration or convention?;Yes;No;;;
q66165;If you had to live through an entire year of either darkness or daylight, which would you chose?;Darkness.;Daylight.;;;
q26317;Do you think etiquette and table manner (fork left, knife right, etc.) still have value in modern society?;Yes;No;;;
q51296;Do you feel a need to own the most up-to-date electronic gadgets?;Always.;Sometimes.;Never.;;
q37845;Do you read the dedications and introductions when you're reading a book?;Yes, always or almost always;Occasionally, if I'm interested;No, I just get right to it;I don't read / don't read books with introductions;
q192;Do you believe in dinosaurs?;Yes;No;;;
q16153;What causes Earth's seasons?;Earth's distance from the sun;Earth's tilt in relation to the sun;Earth's rotation on its axis;Don't know / don't care / not sure;
q17021;Do you feel guilty when you masturbate?;Yes;No;;;
q27527;Have you ever, when you are alone, secretly tried to move stuff with your mind?;Yes;No;YES!  And it Worked!;;
q59442;When you are alone, how often do your own actions make you laugh?;Frequently.;Occasionally.;Rarely.;Never.;
q35971;Do you talk to your pets?  (Conversationally, not giving orders.);Yes.;No.;I don't have any pets.;;
q417;Have you ever blacked out from drunkenness?;Yes;No;;;
q71660;If someone described themselves as 'just an average guy/gal', how would this most likely affect your opinion of them?;Positively.;Negatively.;It would depend on other factors.;;
q30690;Do you think you are still evolving or are you pretty much the way you are always going to be?;Still evolving;The way I'll always be;;;
q4346;Trying anything at least once is..;A good idea.;Not for me.;;;
q44255;Would you consider dating a law enforcement officer?;Yes.;No.;;;
q36524;When riding a bicycle, do you wear a helmet?;Yes, all the time;Yes, some of the time;Rarely or never;I don't ride bicycles;
q18858;Should speech be...;Completely free;Have some censorship;Be very censored;Only say what the dictator wants!;
q25768;Would you ever correct your partner for seriously misusing or mispronouncing a word?;Yes;No;;;
q54517;Are you sexually attracted to any inanimate objects?;Yes.;No.;;;
q43509;Do you believe in reincarnation?;Yes.;No.;;;
q37695;Not including Halloween, do you enjoy dressing up in costumes?;Yes - Every chance I get.;Yes - On occasion.;I think that I might, but I do not.;No.;
q61823;As long as you both agreed that nobody else would ever see the video, would you let a partner film the two of you having sex?;Yes.;No.;Maybe, depending upon the partner.;;
q913;Would you rather have your dream job or your soul mate for the rest of your life?;Dream Job;Soul Mate;;;
q12750;Do you ever spit on the ground, in public?;Yes;No;;;
q45632;Are you a fan of professional wrestling?;Yes.;No.;;;
q1179;Do you like traveling?;Yes;No;;;
q37764;How often do you read your horoscope?;Daily.;Weekly.;Occasionally.;Never.;
q65937;Imagine that you come home to find a partner pouring red wine all over a stranger's naked body and then licking it off.  Which, if any of the following, would bother you most?;The spilled wine.;The cheating.;The fact that I was not invited to join in.;Actually, this would not bother me.;
q42209;How many times do you usually hit the snooze button on your alarm clock?;Zero.  I get up immediately when the alarm sounds.;One or two times.;Three or more times.;I do not usually use an alarm clock to wake up.;
q42640;Do you consider yourself to be a picky eater?;Yes.;No.;;;
q58829;When it comes to your pubic hair, do you make a regular effort to maintain its appearance (or lack thereof)?;Yes.;No.;;;
q6377;Do you have a problem with authority?;Yes;No;;;
q19652;How long does it take you to get ready in the morning?;I'm ready when I wake up;Less than 1 hour;1 - 2 hours;2 hours or more;
q6636;Would you prefer to live in an old house with character and history or a brand spanking new one?;Old;New;;;
q60577;Do you ever feel socially awkward?;Yes.;No.;;;
q416235;Do you like watching foreign movies with subtitles?;Yes;No;Can't answer without a subtitle;;
q85238;How often do you find yourself becoming annoyed because other people just don't seem to understand the obvious?;All of the time.;Frequently.;Once in a while.;Never.;
q82755;If your significant other has not reached the same educational level as you, is this a turn off?;Yes.;No.;;;
q21181;It's your first date, do you split the bill, pay the whole bill yourself, have them pay the whole bill;Split the bill;Pay the whole bill;Have them pay the whole bill;It doesn't matter to me, I'll be happy in any case;
q15634;Do you like to be the center of attention?;Yes, always;Yes, sometimes;Not really, no;;
q383;Is it cool for guys to wear earrings?;Sure, it's fine;No way;;;
q1436;Would you leave an otherwise perfect relationship if you found out your partner was interested in children sexually?;Yes;No;I'm Not Sure;;
q48649;Would you consider having a relationship with someone who is married, but no longer has sex with their spouse?;Yes.;No.;;;
q83547;How important is it to you that a potential partner continues to educate himself/herself as an adult?;Very important.;Somewhat important.;Not at all important.;Actually, this would be a turn-off.;
q439;Are you annoying?;Yes;No;;;
q67658;How would you react if someone IM'd you and quickly started talking about sex?;Positively.;Negatively.;Indifferently.;;
q12796;Do you have a current passport?;Yes;No;;;
q24740;Do trees have souls?;Yes;No;;;
q85572;Do you like jazz?;Yes, in fact it's my favorite.;Yes, but I like other music as well or more.;It's okay, but I'm really not that into it.;No, not at all.;
q55348;Can you recite your favorite poem from memory?;Yes.;No.;I don't have a favorite poem.;;
q854;Do you wish things like vampires, fairies, werewolves, ghosts, or something along those lines were real?;Yes;No;;;
q141;Would you be happy raising the kids while your spouse worked?;Yes;No;;;
q50006;Overall, do you think that what you do (or plan to do) for a living makes the world a better or worse place?;Better.;Worse.;No impact.;I neither work nor plan to.;
q445;Which typically comes first for you?;Work;Play;;;
q83382;If it were legal to do so, would you ever consider paying for sex?;Yes.;No.;;;
q15907;Are you turned off when your lover farts, complains about bowel movements, or exhibits any other human characteristics as such?;Yes;No;;;
q352;Would you rather date someone extremely hot or extremely honest?;Extremely hot;Extremely honest;;;
q35347;When would you prefer to spend time with a significant other?;Day.;Night.;It makes no difference.;;
q165651;Do you often have a hard time thinking of things to talk about?;Yes;No;;;
q19892;Foot fetish?;Yes, I have a foot fetish!;No, I don't have a foot fetish;;;
q19897;Do you play or have you ever played a Massive Multiplayer Online Role Playing Game?;I enjoy playing them;I'm a recovering addict - never again;No, but I'd like to try one;Not my type of thing / NO IDEA;
q15784;Are you intimidated by a partner who is more sexually experienced than you?;Yes;No;;;
q49175;On average, how many fast food meals do you eat in a week.;1 or less.;2-4.;6-9.;10 or more.;
q246;Which describes you better?;Confrontational;Non-confrontational;;;
q58763;Do you enjoy riding roller coasters?;Yes.;No.;I've never ridden a roller coaster before!;;
q68738;Would you honestly answer any question concerning your sexual history that a partner might ask?;Yes.;No.;;;
q19567;How many hours of television do you watch per week?;;1-7;8-20;My brain is fried;
q17570;In a certain light, couldn't being homeless be exciting?;Yes;No;;;
q48857;Do you dress up for Halloween almost every year?;Yes.;No.;;;
q12540;Do you ever drink alcohol in order to lower your inhibitions with the opposite sex?;Yes;No;;;
q45553;What is your opinion on freckles?;They turn me on. The more the merrier!;They turn me off. Give me flawless skin, please.;I could take them or leave them.;A light dusting can be cute.;
q6850;You are offered a choice of free training in Martial Arts or Cooking.  Which do you take?;Martial Arts;Cooking;;;
q348;Which do you like more? Be honest.;Giving massages;Receiving massages;;;
q35281;Who are you more worried about disappointing?;God;My family or friends;Myself;I don't worry about such things;
q33949;Do you prefer to eat organic food?;Yes, as much as possible;I would, but it's too expensive;Sometimes, if it's easy to get;No / Don't Care;
q28662;Are you fond of late night walks to no place in particular?;Yes;No;;;
q160;Which is more appealing?;A life of leisure;A life of accomplishment;;;
q18900;Do you chew with your mouth open?;Yes;Sometimes;No;;
q42776;Have you ever fired a real gun?  For this question, pellet/BB/Nerf/paintball weapons do not qualify.  If so, which most closely describes the deadliest type you have fired?;No.;Rifle / carbine / pistol / shotgun.;Machine gun / fully automatic / assault weapon.;Tank gun / naval gun / anti-tank / other cannon.;
q60;Which describes you better?;Warm-hearted;Cool-headed;;;
q23779;How often are you influenced by peer pressure?;Often;Rarely;Sometimes;;
q337;Without using a dictionary or other tool, can you choose the commonly misspelled word? Don't cheat! It's okay if you don't know.;Separate;Definate;Committee;(Not sure / dumb question / who cares);
q52789;Which of the following do you consider to be the best explanation for the existence of human life on Earth?;Humans evolved from other species.;Humans were created by a higher power.;Humans were brought to Earth from the stars.;I'm not sure.;
q15749;Do you go to great lengths to avoid conflict?;Yes;No;;;
q86515;Do you enjoy conversation during breakfast?;Yes.;No.;Sometimes.;;
q50542;Have you ever yelled at the TV while watching sports?;Yes.;No.;;;
q93;Generally, in life, what makes you happier?;Quality;Variety;;;
q24496;When a dog licks your face, what is your reaction?;Ugh. Nasty.;Awww..how cute!;I'm Not Sure / Don't care;;
q64476;Under the right circumstances, would you allow a partner to lick your anus?;Yes.;No.;;;
q19145;Guys/girls who are tall and lanky:;Love it!;Hate it!;Don't particularly care;;
q161;Would you rather have more money or more freedom?;More money;More freedom;;;
q6238;Do you laugh when somebody trips and falls?;Yes, almost always;No, almost never;Occasionally;;
q232388;Have you stayed friends with most of your ex-boyfriends/ex-girlfriends?;I'm friends with all/most of them.;I'm friends with a few of them.;I'm not friends with any of them.;I don't have any ex-boyfriends/ex-girlfriends.;
q22706;Are you totally comfortable being naked around your lover, not just during sex?;Yes;No;;;
q1081;Would you prefer to be a financial success or to remain true to your principles?;Financial success, please.;I'll stick with my principles, thanks.;;;
q19458;Is it ok for a girl to ask a guy out on a date?;Yes, it's perfectly ok;Yes, but it comes across as desperate;No;;
q266;Do you have a favorite sports team that you really like to follow?;Yes;No;;;
q305;Goth chicks?;Sexy;Lame;I don't know;;
q27341;How does the thought of someone masturbating with you in mind make you feel?;Shocked;Disgusted;Flattered;Aroused;
q50178;Do you enjoy it when someone uses refrigerated items or ice cubes on you during sex?;Yes.;No.;I don't know.;;
q15550;What is too big of an age gap between you and a partner?;5 years;10 years;15 years;Age is just a number;
q42010;Do you make any special efforts to support small, independent businesses instead of the big chains?;Yes, I support the little guys whenever I can.;No, I prefer dealing with big business chains.;I support whoever has superior products/services.;This does not concern me at all.;
q45;Do you believe in ghosts?;Yes;No;;;
q18708;Which of the following best describes Science, in your opinion?;A belief system, no better or worse than Religion.;A method one can follow to make predictions.;A post-hoc explanation of God's miracles.;Hello? Like totally boring, dude.;
q215;Which would you rather master?;art;science;;;
q18;Do you have experience being in a slave/master relationship?;Yes;No;;;
q17705;Which of these cuisines is most appealing?;Thai;Indian;Italian;Mexican;
q60318;Would you enjoy going to an all night dance party?;Yes.;No.;;;
q216;Star Trek: cool or uncool?;Cool;Uncool;;;
q280;Do you like the taste of blood?;Yes;No;;;
q1305;Do you own your own country's flag?;Yes;No;;;
q49094;When it comes to art, do you prefer works that are abstract or representational?;Abstract.;Representational.;I like both kinds equally.;I'm not a big fan of art.;
q77456;If all of the professional sports leagues in the world ceased to exist, would you be upset?;Yes.;No.;;;
q49803;How often do you watch automobile racing?;Frequently.;Occasionally.;Never.;;
q1309;What size party would you prefer to attend?;Just a few close friends.;5-20 people.;20-100 people.;More than 100 people.;
q18433;You've been chatting with someone and are hitting it off. They e-mail you nude pictures of themselves. What's your reaction?;Very negative;Sort of negative;Sort of positive;Very positive, maybe even send nudes back;
q16295;To you, which adjective best describes hopeless, unrequited love?;Romantic;Foolish;Creepy;;
q214;Overall, has capitalism made the world a better place?;Yes;No;;;
q426;Do you enjoy watching movies with subtitles?;Yes;No;;;
q6542;Do you believe in the term 'meant to be'? As in fate or destiny with another person?;Yes;No;;;
q26367;Is there at least one nude photo of you on the Net?;Yes;No;Yes, but my face isn't visible;Not sure;
q84366;Suppose a close friend's partner is very attractive and thinks you're attractive, too. If you could enjoy a few hours of sex with them and your friend would never find out about it, would you do it?;Yes.;No.;Maybe.;;
q18711;Have you ever cosplayed? (Dressed up as a comic/anime character);Yes;No, and I wouldn't be interested;No, but it sounds cool;;
q23527;What type of humor do you enjoy most?;Ribald, crude, debasing;Witty, tongue-in-cheek;Slapstick, physical, farce;Sarcastic;
q19695;In general, are you a competitive person?;Very often;Sometimes / rarely;Never / not really;;
q22560;Which character best represents your personality?  (if you don't know/remember the characters, just go by the description);Garfield - apathetic & sarcastic;Bugs Bunny - creative & versatile;Batman - quiet problem-solver;Mickey Mouse - cheery & energetic;
q416;Would you and your ideal match eventually feel comfortable farting around each other?;Yes;No;;;
q61903;Would you be concerned if your partner still masturbated, even though you were sexually active together?;Yes;No;Maybe / I don't know;;
q53312;Which of the following would you be most disturbed to find in a 13-year-old child's room?;Condoms.;Illegal drugs.;Pornography.;Weapons.;
q35606;Does hanging out in an empty field, in the middle of no where, at 2am to watch a meteor shower sound like fun to you?;Heck yeah! I'll bring the hot cocoa/coffee/tea.;I've never done it but it sounds like fun.;I could take it or leave it.;Sounds like a complete waste of time.;
q41242;Your significant other is traveling and has the opportunity to stay with a good friend that you know they find to be very attractive.  What's your stance on the situation?;It would be totally unacceptable.;It might be ok, but I'd want to discuss it first.;It's fine - I don't see any problem.;It sounds sexy - Hopefully they'll hook up.;
q17808;Would you date someone purely on the fact that they were well endowed?;Yes;No;Depend on how 'well' we are talking!;;
q129;Do you have any 'extreme' piercings (this includes anything other than ears, nose, or navel)?;Yes;No;;;
q62537;Would you be willing to engage in mutual masturbation with someone?  You would be pleasing yourself and watching them do the same, but no touching each other.;Yes.;No.;;;
q467;Do you imagine you're louder than average (for someone your gender) during sex?;Yes, I'm louder;No;;;
q94;Are you almost always on time?;Yes;No;;;
q2781;Do you find it disturbing that products are still tested on animals?;Yes;No;;;
q84;Do you regularly go out partying on weeknights?;Yes;No;;;
q86750;What kind of rides do you like at amusement parks?;The biggest or most thrilling ones.;The more laid back, smaller, or classic rides.;I like them all, big and small.;I wouldn't bother to do the rides.;
q20838;My hair is usually...;Very well groomed.;Given a good combing.;Intentionally unruly or unkempt.;Left untouched.;
q60500;Has anyone ever accused you of being 'too clingy'?;Yes.;No.;;;
q29792;Do you like wearing formal attire?;Yes, I love dressing up.;Occasionally,  when I need to.;No / It makes me uncomfortable.;No opinion/Never had to;
q41696;If you had a dream in which you were having sex with a close friend, would you tell them about it?;Yes.;No.;It depends upon which friend.;;
q23477;Is the left or right hemisphere of your brain dominant?;Left (Science/Language/Logic/Reality);Right (Art/Philosophy/Emotion/Imagination);Both! My hemispheres are co-dominant!;I don't like this brain talk;
q168;The life of one of your fellow citizens is more valuable than the lives of ten foreigners.;True;False;;;
q16487;Do you dream of traveling the world or are you happy where you are?;Where's my ticket?;I'm fine where I am, thanks;;;
q6155;Are you a snob about some things?;Yes;No;;;
q56145;How do you generally feel about people who tend to hug others whom they've just met?;More positive than negative.;More negative than positive.;Indifferent.;;
q40319;Could you easily obtain illegal drugs through your social network?;Yes.;No.;Only marijuana.;;
q441;Do you make your bed most days?;Yes;No;;;
q82128;In general, how relaxed are you on a first date?;First dates make me nervous.;Maybe a few butterflies.;No worries.;;
q18825;Does it annoy you when an OkCupid user has no pictures that show their face?;Yes;No;;;
q18639;If your partner had a foot fetish, would you include it in your sex life?;Yes, for their sake;Yes, because I like it, too;No;;
q15756;Should sex education be taught in schools?;Yes;No;I don't know;;
q57307;Would the idea of a quiet evening sitting together reading books ever appeal to you?;Yes.;No.;;;
q78853;Would you like to play naked Twister with a group of people?;Yes.;No.;;;
q16269;Do you ever get inspired to make something creative for no reason in particular?;Very Often;Rarely / Never;Sometimes;;
q28777;Do you chew gum?;Yes;No;;;
q18538;Did you ever have a 'goth' phase?;No.;Yes, and I'm a little embarassed about it.;Yes, and I'm proud of it.;It wasn't a 'phase'!;
q34792;Would you be willing to date a musician?;Of course!;Possibly...depending on what they do.;I really don't know.;Not a chance!;
q22683;Can you sleep in the same room as someone who snores?;Yes;No;;;
q86049;How easily are you offended?;Very easily.;Somewhat easily.;Not very easily.;;
q14663;Do you only date people with athletic and toned bodies?;Yes;No;;;
q1222;In terms of relationships, which of these is it the most important to find?;Someone for whom you would do anything.;Someone who turns you on.;Someone you feel like you've known forever.;Someone with goals similar to yours.;
q12;Divide your age by 2.  Have you had sex with at least that many people?;Yes;No;;;
q71542;Which best describes the ideal indoor temperature for you?;Below 70F (21C);70-75F (21-24C);76-80F (25-27C);Above 80F (27C);
q13095;Do you kiss on the first date?;Under the right circumstance, Yes;Never;Always;;
q1263;Do you need to know about your partner's previous sexual exploits?;Yes, because it reflects on them as a person.;No, the past is the past.;;;
q40650;Do you and your ideal significant other enjoy making sarcastic jokes at each other's expense, knowing that it's all in good fun?;Yes! That's a personality trait we have to share.;Sometimes, but not too much.;No, sarcasm doesn't belong in a love relationship.;I can't dish it out, but I'd take it, I guess.;
q15409;Do you ever use the word 'gay' as an insult or pejorative?;Yes;No;;;
q24153;When I go out to eat, I go to a large chain restaurant:;Exclusively;Sometimes;Once in a while;Never;
q54;Which, on you, is closest to perfection?;Your mind;Your body;Your wallet;Your soul;
q80928;Have you ever seriously questioned your sexuality and whether it was different from what you first assumed?;Yes, and it changed.;Yes, but it did not change.;No.;;
q70586;Would you ever use paper plates just to avoid doing dishes?;Yes.;No.;;;
q57731;Would you consider dating someone who is much kinkier than you are?;Yes.;No.;;;
q412;Is global warming a serious problem?;Yes;No;I don't know;;
q20408;Do you believe in an energy field that surrounds us that we can manipulate through reiki, acupuncture, chakra balancing, yoga, or some other system?;Yes, and I practice one/some of these.;Yes, but I don't practice any of these.;No, but I do practice one/some of these.;No, and I would never practice any of these.;
q66544;In a relationship, who do you prefer to be taller?;I like to be taller.;I like my partner to be taller.;I like us to be about the same height.;It doesn't matter to me.;
q15751;Should wealthier people pay higher taxes?;Yes;No;;;
q69943;Do you like large dogs?;Yes.;No.;;;
q49093;Wearing socks with sandals is:;Perfectly fine.;Utterly wrong.;OK sometimes.;Not a subject I have an opinion on.;
q132;Can you run a mile without stopping?;Yes;No;Yes - And More;;
q68185;Would you enjoy going fishing with your partner?;Yes.;No.;;;
q50352;If you were going away for two weeks, how far in advance would you start packing?;I would pack at least two days before I leave.;I would pack on the day before I leave.;I would pack on the same day I leave.;I would not pack at all.;
q24748;Would you date a comic book geek?;Yes;No;;;
q42120;Are you a 'double dipper'?  In other words, do you ever take a bite of food and then dip it back into a shared sauce or dip?;Yes, I double dip indiscriminately.;Yes, but only with family or close friends.;Yes, but only with a partner.;No, never.;
q81847;Would you date someone who has cold-sores (oral herpes)?;Yes.;No.;;;
q142;Is it possible to love someone you don't even like?;Yes;No;;;
q6971;Is VERY short hair on a girl necessarily unattractive?;Yes;No;;;
q15182;Which is worse?;Someone who is always happy;Someone who is always sad;;;
q33;Do you like kissing in public?;Yes;No;;;
q617;If evil forces made you choose to either watch tv OR read books for the rest of your life, you would:;watch tv;read books;;;
q45645;Have you ever faked an orgasm during sex?;Yes.;No.;;;
q36666;Of these four educational subject areas, which is your favorite?;Language;Mathematics;Science;History;
q14853;How do you feel about baseball?;It's my life;I can take it or leave it;I think it's dumb;;
q365;How much would you enjoy hosting a big, crazy party?;A lot;Not that much;Not at all;;
q23389;You're out on the street and you encounter some people speaking a foreign language. What's your reaction?;You're in our country, speak our language!;No big deal.;Cool, what language are they speaking?;(in their language) Hi, how are you?;
q55185;In terms of birth order, which are you?;The oldest child.;The youngest child.;Somewhere in the middle.;All of the above.;
q898;Is it possible to have a true relationship, friend or otherwise, with someone you've never met in person?;Yes;No;;;
q18644;Does your ideal schedule involve staying up very late at night and sleeping during the day?;Yes;No;;;
q61133;Would you be comfortable masturbating in front of a partner?;Yes.;No.;I don't masturbate.;;
q1830;What makes a better friend?;Quick wit and a mischievous smile;Compassionate nature and a shoulder to support you;;;
q63068;Approximately how many hours per week do you dedicate to spiritual activity?;Zero.;One hour or less.;One to four hours.;More than four hours.;
q18619;Have you ever had a sexual relationship with someone you met online?;Yes;No;;;
q57718;Immediately after having sex with a partner, which of the following sounds most appealing?;Cuddling with them.;Doing my own thing.;Sleeping.;Masturbating or having sex again.;
q23233;Do you have time for a committed relationship in your life at this point?;Yes, absolutely;Probably not;No;;
q80621;How often do you smoke cigars?;Frequently.;Occasionally.;Never.;;
q13130;Hypothetically, do you think you would be good at being a porn star?;Yes;No;;;
q18763;Do you consider yourself to be an honorable person?;Yes, I always try to do the right thing.;Sometimes, it depends on the situation.;No, not really.;Are you kidding? I lie, cheat , AND steal.;
q29815;What do you think of reality television?;I love it!;It's alright.;I dislike it.;I have no opinion on reality television;
q48770;Would it ever be okay to break up with someone by email or text?;Yes.;No.;;;
q16820;What is your opinion on Walmart?;Retail heaven;Devil incarnate;Just another corporation;;
q27747;Do you believe that art and literature courses are important to students, even if they are majoring in other fields?;Yes, absolutely.;I like them, but don't know if they're important.;No, why waste their time?;;
q65043;Do you own any sexy underwear?;Yes.;No.;;;
q13100;Are you annoyed by tardiness?;Yes;No;I'm the one who's always running late.;;
q156917;Are you an Atheist?;Yes;No;;;
q605;Would you date someone who was looking for true love - but no sex, at all, ever?;Yes;No;;;
q35415;How would you feel if a significant other forgot your birthday, nameday, anniversary, or something else similarly important to you?;Indifferent.;Disappointed.;Annoyed.;Angry.;
q55980;Would you like to be the supreme ruler of all people on Earth?;Yes.;No.;;;
q19140;Personally, is sex in a public place hotter than indoor sex?;Yes;No;I'm Not Sure / Wouldn't know;;
q19125;Are you concerned with your image and the way others perceive you?;Very Much So;Often, yes;A little bit;Not at all / I hate the mainstream;
q19893;Is a tongue stud a turn-on?;Yes;No;;;
q59597;If given the chance, would you rather learn to play a musical instrument or learn to speak another language?;Play a musical instrument.;Speak another langauge.;Neither.;;
q20062;While in the middle of the best lovemaking of your life, if your lover asked you to squeal like a dolphin, would you?;Absolutely.;No way.;The best?  Maybe...;;
q68580;After dating someone for a while, you finally get to see where they live. He/she leaves you alone to go take a quick shower. Would you snoop?;Yes.;No.;;;
q512;Do you like to dance?;Yes;No;;;
q25734;What is the farthest you have/would go in a game of strip poker?;Underwear;Topless;All the way;Wouldn't even be playing.;
q17582;How are your teeth?;Perfect;Okay;Kinda Scraggly;Fucked Up;
q34;Are you more horny or more lonely?;Horny;Lonely;;;
q434;Do you like loud concerts?;Yes;No;;;
q22496;Board games?;What are board games?;I love boardgames, let's go play.;Boardgames are okay, I guess.;I'd rather do something else.;
q496;When a relationship ends, what's the best thing to do?;Try and be friends with your ex;Go your separate ways;;;
q49920;How spicy do you like your spicy food?;I like it extremely spicy.;I like it hot.;I like it a little spicy.;I prefer it be mild.;
q63;Which word describes you better?;Private;Social;;;
q53629;Which is your favorite season?;Summer.;Fall.;Winter.;Spring.;
q185;Are you really into Anime (Japanese Animation) movies?;Yes;No;;;
q38230;Would you really like to stay home and spend an entire day (24 hours) in bed (getting up only for the necessities) with your ideal significant other?;Yes.;No.;;;
q79635;How would you feel if someone called you 'good girl' or 'good boy' during sex?;Positive.;Negative.;Indifferent.;It would depend on which of the two I was called.;
q193;Do you say grace before meals?;Yes;No;;;
q91;Honestly, which do you do more of?;Watch television;Read;;;
q179;Who's smarter on average?;Men;Women;Neither, they're the same on average;;
q35995;Have you ever lied to a partner about your sexual history?;Yes;No;I've never discussed my sexual history in this way;;
q334;Do you usually wear cologne or perfume?;Yes;No;;;
q28478;If a blind date used a coupon while paying for dinner, how would you feel?;Negative. That's tacky/cheap.;Positive. Very sensible.;I don't care either way.;;
q54016;Are you afraid of falling madly in love?;Yes.;No.;;;
q1497;Which would you rather choose: peace on Earth or loads of money?;Peace on Earth;Loads of money;;;
q47635;Imagine you have a partner who is able to provide financially for you and any children.  Would you consider taking a stay-at-home role?;Yes.;No.;;;
q44540;If you were in a serious relationship, would you mind if your significant other maintained an active profile on OkCupid?;Yes - I would mind this.;No - This would not bother me.;;;
q23120;Which is most important to you in determining attractiveness?;Chest/Breasts;Butt/Legs;Face/Smile;Other;
q62455;Are you a workaholic?;Yes.;No.;;;
q20950;People who throw cigarette butts out of their car window...;Are not doing any real harm;Are being insensitive and/or rude;;;
q67418;What is your opinion of couples who frequently say 'I love you' to one another?;It's sweet.;It's annoying.;I'm indifferent to this.;;
q55355;Do you have a problem with people who wear fur clothing?;Yes.;No.;;;
q31898;How do you feel about zoos?;I think they're lots of fun!;Sure, they're fine.;Those poor, locked-up animals!;Zoos are boring.;
q23507;Could you date someone who never, ever, threw anything away?;Yes, junk is cool;No;I don't know;;
q45835;Which is your favorite weather?;Sun;Rain;Snow;Cloudy;
q18955;Would you date someone who's smart but achieved nothing in life?;Yes;No;;;
q29055;How do you feel about living with a signficant other before marriage?;Nothing wrong with that.;Maybe, depending on the situation.;I'm against that.;I'm not sure.;
q22534;Would you ideally like to be married within the next 3 years?;Yes;No;Possibly;I'm already married;
q39210;Do you believe you've lived past lives?;Yes, I am confident I have.;No, I do not believe this is possible.;Maybe, but there is no way to really know.;;
q15418;In your current music collection, do you have more independent artists or big name superstars?;Independent;Big name superstars;A mix of both;I don't have a music collection;
q577;How many dates does it take for a potential significant other to get a good sense of who you are as a person?;Less than five;More than five;;;
q19737;Could you live a life full of traveling?;Yes;No;;;
q486;Is a welfare system a good idea? Or does taxing for it just take money away from hard-working people who earned it?;Welfare is mostly good;Welfare is mostly bad;;;
q82301;When you first talk online with someone, which of the following would you prefer to talk about?;Sex.;Politics or current events.;Activities.;Personal history or experiences.;
q186;If you got married, would you change your name?;Yes;No;;;
q60145;Are you still in love with one or more of your former partners?;Yes - One of them.;Yes - More than one.;No.;No - I've never been in love with a partner.;
